GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Hotel Management System,com.hotelmanagement.controller,TableReservationController,116,0,2,0,28,0,12,0,11,0
Hotel Management System,com.hotelmanagement.controller,RestaurantTableController,61,0,0,0,16,0,6,0,6,0
Hotel Management System,com.hotelmanagement.controller,PricingController,33,0,0,0,6,0,4,0,4,0
Hotel Management System,com.hotelmanagement.controller,RoomController,103,0,0,0,27,0,11,0,11,0
Hotel Management System,com.hotelmanagement.controller,ReservationController,143,0,0,0,38,0,12,0,12,0
Hotel Management System,com.hotelmanagement.controller,GuestController,131,0,0,0,37,0,13,0,13,0
Hotel Management System,com.hotelmanagement.service,PricingService,2,98,1,23,1,23,1,17,0,4
Hotel Management System,com.hotelmanagement.service,ReservationService,43,329,10,46,6,71,17,28,7,10
Hotel Management System,com.hotelmanagement.service,GuestService,75,439,25,69,16,90,23,46,2,20
Hotel Management System,com.hotelmanagement.service,RestaurantTableService,9,142,5,9,1,25,6,16,1,14
Hotel Management System,com.hotelmanagement.service,TableReservationService,16,255,12,22,0,59,14,17,2,12
Hotel Management System,com.hotelmanagement.service,RoomService,32,174,7,25,4,33,11,23,4,14
Hotel Management System,com.hotelmanagement.model,Room,34,20,12,4,3,2,9,3,2,2
Hotel Management System,com.hotelmanagement.model,Reservation,6,167,9,29,1,32,9,23,0,13
Hotel Management System,com.hotelmanagement.model,TableStatus,0,44,0,0,0,5,0,1,0,1
Hotel Management System,com.hotelmanagement.model,TableReservation,34,74,10,8,1,11,9,10,0,10
Hotel Management System,com.hotelmanagement.model,ReservationStatus,0,54,0,0,0,6,0,1,0,1
Hotel Management System,com.hotelmanagement.model,RoomType,0,54,0,0,0,6,0,1,0,1
Hotel Management System,com.hotelmanagement.model,TableReservationStatus,0,64,0,0,0,7,0,1,0,1
Hotel Management System,com.hotelmanagement.model,RoomStatus,0,44,0,0,0,5,0,1,0,1
Hotel Management System,com.hotelmanagement.model,Guest,11,24,4,6,1,2,4,4,1,2
Hotel Management System,com.hotelmanagement.model,DiningArea,0,34,0,0,0,4,0,1,0,1
Hotel Management System,com.hotelmanagement.model,GuestStatus,0,34,0,0,0,4,0,1,0,1
Hotel Management System,com.hotelmanagement.model,RestaurantTable,5,0,0,0,1,0,1,0,1,0
Hotel Management System,com.hotelmanagement,HotelManagementApplication,5,3,0,0,2,1,1,1,1,1
Hotel Management System,com.hotelmanagement.config,DataSeeder,82,640,16,12,19,123,13,9,0,8
Hotel Management System,com.hotelmanagement.config,SecurityConfig,0,61,0,0,0,19,0,3,0,3
